#tag	x_m	y_m	Z_Base_Tikuna 
1IT0001	5294514.58	9460314.40	-699.5 
2JAST0001	5167595.03	9387089.01	-513 
1JB0001	5190203.02	9431312.08	-568 
1JD0001	4886753.10	9380817.28	-861 
1JI0001	5292930.24	9464669.42	-680.98 
3JI0002	5295538.58	9465070.90	-671.93 
3JI0003	5291325.70	9465481.03	-670.36 
3JI0004	5297309.45	9467089.21	-661.2 
1JOB0001	5333965.88	9473221.92	-694 
1JOB0001A	5333962.49	9473224.35	-694 
1JR0001	5304649.53	9470202.70	-660 
3JR0002	5303243.58	9471594.83	-669.7 
3JR0003	5306335.05	9471857.26	-664.8 
3JR0004	5300716.54	9468484.98	-660.6 
1JT0002	4994450.60	9399501.77	-517 
1JT0003	4977147.80	9370815.59	-458 
1JT0004	4990432.11	9394035.40	-470.6 
1JT0005	5000890.46	9420044.21	-476 
2JTST0001	5119648.17	9525662.61	-640 
2LAC0001	5729182.06	9290217.63	-166 
2LAST0001	5586225.32	9367289.40	-361 
2LBST0001	5643899.14	9639091.92	-325.6 
1LJB0001	5196312.52	9422668.96	-613 
1LSM0001	5380524.86	9465217.07	-662 
1LUC0001	5422442.69	9457406.20	-608.9 
3LUC0002	5421169.00	9459080.94	-630.2 
4LUC0003	5428257.35	9459175.33	-636.4 
3LUC0004	5429045.45	9459873.43	-623.6 
4LUC0005	5431325.04	9459991.41	-608.3 
3LUC0006	5420716.58	9456563.53	-616 
3LUC0007	5427828.77	9460109.72	-613.6 
3LUC0008	5432485.96	9460622.60	-598.9 
3LUC0009	5434590.98	9460689.56	-588.6 
3LUC0010	5424880.51	9458316.62	-611.5 
3LUC0011	5426129.03	9461056.18	-619.9 
7LUC0012D	5421711.92	9458236.71	-652.4 
7LUC0013D	5428961.50	9460416.78	-627 
7LUC0014D	5425217.45	9459623.66	-721.9 
3LUC0015	5419736.04	9457633.40	-623.4 
7LUC0017	5426715.17	9460132.36	-620.3 
7LUC0018D	5422027.83	9456613.91	-708.7 
7LUC0019D	5427541.99	9460520.38	-642.3 
3LUC0020DP	5423569.42	9459218.24	-617.3 
7LUC0021	5425535.24	9459362.53	-593.6 
7LUC0022DP	5421772.56	9456954.63	-617.7 
3LUC0023	5435394.19	9461410.27	-605.3 
7LUC0024DP	5425516.26	9459261.80	-591.8 
7LUC0025	5422553.95	9458638.67	-622.8 
3LUC0026DP	5434999.99	9462033.78	-605.3 
7LUC0027	5428199.06	9461211.54	-619.5 
3LUC0028	5432376.25	9462186.82	-601.2 
7LUC0029H	5429140.03	9460909.48	-615.5 
9LUC0030D	5431805.32	9461467.49	-614.2 
7LUC0030HA	5431405.73	9461740.09	-614.2 
7LUC0030HP	5431739.40	9461519.78	-614.2 
9LUC0031D	5433442.12	9462596.15	-610 
7LUC0031HP	5433435.03	9462506.52	-609.5 
9LUC0032D	5430596.18	9461272.01	-612.1 
7LUC0032HP	5430551.50	9461318.19	-747.1 
3LUC0033	5436428.42	9464358.41	-612 
9LUC0034	5435836.40	9463276.22	-609.2 
9LUC0035	5436825.86	9463500.07	-602.9 
9LUC0036D	5434484.22	9462283.28	-603.8 
9LUC0037	5440200.45	9464267.67	-606.2 
9LUC0038	5437407.01	9462614.73	-650.7 
7LUC0039HP	5427649.10	9459735.77	-602.8 
8LUC0040	5426242.45	9457723.71	-601.9 
9LUC0041	5430660.97	9460697.15	-566.9 
9LUC0042	5435348.67	9461746.59	-592.5 
9LUC0043	5436276.09	9462528.95	-599.7 
9LUC0044	5429113.32	9459904.88	-615.2 
9LUC0045	5438844.13	9464292.18	-593.3 
9LUC0046	5434637.71	9460660.90	-590.2 
9LUC0047	5422375.77	9457390.57	-614.8 
9LUC0049	5437663.73	9463112.83	-607.29 
9LUC0051	5423967.32	9458736.97	-614.76 
