#tag	x_m	y_m	Z_Top_Tikuna
2FGST0001	4818064.81	9246361.25	-835.3
1GUA0001	5345359.16	9465567.42	-343.57
1GV0001	5221205.55	9463138.67	-297
1IA0001	5505176.62	9505631.00	-219.2
1ICT0001	5327087.29	9506356.97	-292
1IMA0001	5387657.04	9431739.78	-289
1IMR0001	5154280.22	9407158.35	-353
1IMT0001	5440292.70	9465115.02	-246.3
3IMT0002	5438100.30	9463024.19	-252.7
3IMT0003	5438819.07	9464215.83	-250.6
3IMT0004	5436316.32	9463244.82	-261.7
4IMT0005	5442717.13	9465944.05	-247.8
1INA0001	5360461.84	9407720.32	-302
1IP0001	5277596.91	9458115.73	-342.44
3IP0002	5275088.48	9457756.26	-355.92
1IPA0001	5504067.93	9469934.06	-218
1IPC0001	5205645.65	9402271.10	-367
1IPX0001	5182354.28	9452675.03	-364
1IT0001	5294514.58	9460314.40	-387.5
2JAST0001	5167595.03	9387089.01	-338
1JB0001	5190203.02	9431312.08	-342
1JD0001	4886753.10	9380817.28	-586
1JI0001	5292930.24	9464669.42	-305.98
3JI0002	5295538.58	9465070.90	-328.93
3JI0003	5291325.70	9465481.03	-309.36
3JI0004	5297309.45	9467089.21	-316.2
1JOB0001	5333965.88	9473221.92	-306
1JOB0001A	5333962.49	9473224.35	-314
1JR0001	5304649.53	9470202.70	-316
3JR0002	5303243.58	9471594.83	-315.7
3JR0003	5306335.05	9471857.26	-306.8
3JR0004	5300716.54	9468484.98	-315.6
1JT0002	4994450.60	9399501.77	-370
1JT0003	4977147.80	9370815.59	-348
1JT0004	4990432.11	9394035.40	-360.6
1JT0005	5000890.46	9420044.21	-324
2JTST0001	5119648.17	9525662.61	-303
2LAC0001	5729182.06	9290217.63	-48
2LAST0001	5586225.32	9367289.40	-136
2LBST0001	5643899.14	9639091.92	-60.6
1LJB0001	5196312.52	9422668.96	-349
1LSM0001	5380524.86	9465217.07	-283
1LUC0001	5422442.69	9457406.20	-246.9
3LUC0002	5421169.00	9459080.94	-268.2
4LUC0003	5428257.35	9459175.33	-251.4
3LUC0004	5429045.45	9459873.43	-257.6
4LUC0005	5431325.04	9459991.41	-263.3
3LUC0006	5420716.58	9456563.53	-263
3LUC0007	5427828.77	9460109.72	-261.6
3LUC0008	5432485.96	9460622.60	-254.9
3LUC0009	5434590.98	9460689.56	-257.6
3LUC0010	5424880.51	9458316.62	-259.5
3LUC0011	5426129.03	9461056.18	-264.9
7LUC0012D	5421711.92	9458236.71	-258.4
7LUC0013D	5428961.50	9460416.78	-249
7LUC0014D	5425217.45	9459623.66	-261.9
3LUC0015	5419736.04	9457633.40	-265.4
7LUC0017	5426715.17	9460132.36	-267.3
7LUC0018D	5422027.83	9456613.91	-231.7
7LUC0019D	5427541.99	9460520.38	-247.3
3LUC0020DP	5423569.42	9459218.24	-266.3
7LUC0021	5425535.24	9459362.53	-262.6
7LUC0022DP	5421772.56	9456954.63	-268.7
3LUC0023	5435394.19	9461410.27	-257.3
7LUC0024DP	5425516.26	9459261.80	-260.8
7LUC0025	5422553.95	9458638.67	-264.8
3LUC0026DP	5434999.99	9462033.78	-257.3
7LUC0027	5428199.06	9461211.54	-264.5
3LUC0028	5432376.25	9462186.82	-291.2
7LUC0029H	5429140.03	9460909.48	-262.5
9LUC0030D	5431805.32	9461467.49	-267.2
7LUC0030HA	5431405.73	9461740.09	-235.2
7LUC0030HP	5431739.40	9461519.78	-235.2
9LUC0031D	5433442.12	9462596.15	-342
7LUC0031HP	5433435.03	9462506.52	-343
9LUC0032D	5430596.18	9461272.01	-269.1
7LUC0032HP	5430551.50	9461318.19	-227.1
3LUC0033	5436428.42	9464358.41	-264
9LUC0034	5435836.40	9463276.22	-284.2
9LUC0035	5436825.86	9463500.07	-268.9
9LUC0036D	5434484.22	9462283.28	-266.8
9LUC0037	5440200.45	9464267.67	-246.2
9LUC0038	5437407.01	9462614.73	-253.7
7LUC0039HP	5427649.10	9459735.77	-279.8
8LUC0040	5426242.45	9457723.71	-256.9
9LUC0041	5430660.97	9460697.15	-249.9
9LUC0042	5435348.67	9461746.59	-232.5
9LUC0043	5436276.09	9462528.95	-274.7
9LUC0044	5429113.32	9459904.88	-255.2
9LUC0045	5438844.13	9464292.18	-248.3
9LUC0046	5434637.71	9460660.90	-252.2
9LUC0047	5422375.77	9457390.57	-261.8
9LUC0049	5437663.73	9463112.83	-251.29
9LUC0051	5423967.32	9458736.97	-263.76
3LUC0053D	5426042.26	9456968.71	-262
1MG0001	5267634.92	9452915.41	-362
1MR0001	5257569.42	9450293.32	-344
1MUC0001	5396959.94	9434727.38	-312.5
1MV0001	5237134.41	9424031.93	-328.5
1MV0002	5266823.52	9429500.73	-356
1MV0003	5226076.27	9424192.06	-364
1NEJ0001	5314453.08	9482969.62	-296.3
1NEJ0002	5311676.06	9480172.09	-301.8
1NEJ0003	5313599.49	9479902.80	-295
1NIT0001	5414656.06	9450342.16	-283
1NMR0001	5144376.42	9413841.69	-345
1NPN0001	5197256.64	9451298.11	-412
1NSM0001	5378063.34	9480256.17	-292.1
1PEV0001	5448031.65	9464477.25	-238.5
2PMST0001A	5316997.44	9735395.11	-111
1PN0001	5200951.60	9437546.57	-343
1PQA0001	5461638.70	9486444.13	-245.6
1PS0001	5135324.53	9403119.43	-272
1PX0001	5157244.10	9404566.22	-292
1PX0001A	5157164.09	9404566.22	-355
1RA0001	5428638.01	9482832.16	-238.8
1RA0002	5434448.72	9480643.51	-253
1RBB0001	5151453.81	9420192.92	-379
1RBI0001	5109733.45	9390800.73	-319
1RBU0001	5274465.22	9583899.29	-281.3
1RCA0001	5436586.77	9640095.93	-183
1RCB0001	5411040.00	9575838.08	-225.4
1RCO0001	5559015.52	9496785.83	-175
1RCP0001	5320971.42	9540491.60	-266.5
2RCST0001	4818064.81	9509035.37	-485
2RJST0001	4645340.19	9472433.30	-657.9
1RIT0001	5459122.62	9460856.70	-236
1RNI0001	5367688.44	9662743.14	-178.1
1RRZ0001	5232017.76	9541258.05	-289.5
1RT0001	5360301.03	9493728.03	-274
1RT0002	5350935.84	9498119.00	-260.4
1RUC0001	5409957.03	9458502.59	-229.5
4RUC0002	5413967.32	9462763.07	-237.7
3RUC0003	5408420.23	9457978.41	-293.5
3RUC0004	5410501.67	9460698.79	-255.7
4RUC0005	5411304.33	9455806.42	-272
3RUC0006	5414535.07	9463956.58	-226.1
3RUC0007	5407374.62	9456577.32	-239.3
3RUC0008	5415778.25	9464455.11	-236.8
3RUC0009D	5408302.15	9458747.96	-245.5
4RUC0010	5414311.19	9460515.75	-256.2
3RUC0011D	5417232.40	9466003.90	-238.8
3RUC0012	5416216.58	9465576.67	-204.5
3RUC0013D	5407819.42	9457524.91	-265.3
3RUC0014D	5407097.57	9455655.76	-255.3
4RUC0015A	5418443.54	9468367.82	-236.4
3RUC0016D	5410315.29	9461403.35	-247.8
3RUC0017D	5407046.93	9457514.70	-273.3
7RUC0018D	5408259.83	9456897.13	-255.3
3RUC0019D	5409128.61	9460645.80	-248.6
3RUC0020	5412922.01	9465053.94	-247.4
3RUC0021	5411945.47	9463049.75	-244.8
3RUC0022DP	5412758.13	9465458.89	-247.4
7RUC0023D	5412914.22	9463332.19	-245.8
7RUC0024D	5411277.25	9462228.84	-244.8
4RUC0025	5406459.71	9457946.25	-257.8
7RUC0026D	5409140.88	9457734.17	-281.3
7RUC0027	5414829.86	9465146.90	-250.3
7RUC0028	5413555.95	9464550.07	-246.3
3RUC0029	5411922.32	9460786.13	-243.3
7RUC0030	5409126.89	9459764.83	-248.4
7RUC0031	5412522.51	9463949.53	-243
4RUC0032	5404601.23	9456088.13	-259.4
7RUC0033D	5411020.32	9462610.58	-245.9
7RUC0034H	5414325.64	9465102.06	-252.3
7RUC0035D	5408563.23	9459286.33	-257.4
3RUC0036	5409944.13	9453544.35	-261
3RUC0037	5410413.26	9457280.73	-262.3
3RUC0038	5416946.40	9463192.42	-253.8
7RUC0039HP	5410018.17	9453707.57	-275
9RUC0040	5412404.18	9462334.16	-246.5
9RUC0041	5409277.57	9459309.21	-220.6
9RUC0042	5412846.16	9459599.96	-267.5
7RUC0042HP	5412945.18	9459663.08	-267.6
9RUC0043	5415664.78	9465248.83	-235
7RUC0043HA	5415592.25	9465186.86	-235
7RUC0043HP	5415568.79	9465246.77	-235
9RUC0044	5409665.69	9460869.91	-253
7RUC0044HP	5409556.14	9460408.70	-252.5
9RUC0045	5410436.42	9460736.03	-253.8
3RUC0048	5417931.01	9466645.75	-248
3RUC0049	5411589.77	9459304.62	-244.3
1SB0001	5281792.11	9457092.94	-327.4
1SMA0001	5452850.35	9465301.70	-236
1SMT0001	5364722.31	9477025.07	-289.8
1SMT0002	5370259.47	9473700.24	-302.4
4SMT0003	5372598.98	9471296.74	-297.6
6SMT0004	5367109.36	9474821.89	-284.9
2SNST0001	5115606.86	9655958.87	-184
1SOJ0001	5286096.42	9459271.34	-333.5
2SRST0001	5339511.22	9667029.05	-178
1SSM0001	5367985.81	9454269.89	-302.1
1SUC0001	5406260.50	9446339.85	-262.8
4SUC0002	5407361.55	9449628.67	-272.3
3SUC0003	5409157.60	9452032.07	-267.5
1TAQ0001	5351734.55	9482877.31	-292.1
1TB0001	5683759.46	9452337.97	-75
2TEST0001	5479702.44	9627897.12	-163
1TM0001	5136518.13	9498523.36	-319.9
2TUST0001	5276789.75	9517800.34	-292
1UE0001	5217335.82	9441541.70	-351
2REST0001	4782243.66	8971229.03	-368
1BT0001	4536307.78	9245663.20	-1104
1BT0002	4541296.84	9232405.44	-990
2CDST0001	4597770.16	9143871.84	-1113.7
2INST0001	4634888.67	9198835.18	-1516
2JMST0001	4529346.97	9085890.04	-680.4
1JQ0001	4545570.58	9306899.18	-1968.2
1RM0001	4534920.85	9108251.65	-1584
1RPX0001	4547966.00	9211642.33	-1533.4
1RZ0001	4540012.06	9165457.50	-1472
1SD0001	4517776.04	9092949.11	-1329
1CS0003	5767539.08	9577483.48	-98
2CSST0002	5763783.34	9574697.98	-9
PANDOX-1	5114970.62	8716740.93	-326
MANURIPIX-1	5092853.94	8716991.91	-369
A_Iquitos1	4619388.13	9424922.61	-657.5
A_Iquitos2	5063201.23	8784353.00	-333.8
tiputini1	4264169.17	9919439.75	-1000
panacocha1	4210743.49	9961736.78	-1687.5
s_roque2	4177623.43	9947883.84	-1906.25
s_francisco1	4159208.51	9956164.06	-2125
ind_itaya1	4148172.62	9947852.31	-2218.75
primavera1	4135291.07	9945070.10	-2375
culebra1	4120562.53	9947821.74	-2375
coca1	4102144.47	9958880.65	-2187.5
2SLST0001	5841601.58	9655746.61	22.9
2BIST0001	5846303.35	9565005.69	0
1RL0001	5858712.67	9497098.16	-35
2PUST0001	5775260.61	9500509.37	-15
2AIST0001	6002405.34	9391267.27	-36
2AIST0002	6003402.67	9430738.84	-12.5
2AAST0001	5963966.41	9449551.46	13
2IPST0001	5924154.46	9461886.90	-7.1
2ICST0001	6008888.15	9476731.87	33.3
2TNST0001	5939346.46	9534026.58	-8.3
1RCM0001	5930145.13	9564413.28	-67.3
2LCST0001	5949772.05	9582214.50	-27.7
1LC0002	5957518.22	9587493.52	-18
1LJ0001	5911282.65	9591425.85	-10.5
2IOST0001	5900787.32	9591179.94	-25
2LMST0001	5935124.63	9606699.39	20.2
2MUST0001	5933195.23	9629723.92	13
1MU0002	5928924.92	9632243.63	40
1MU0003	5939083.68	9636070.70	50
1MU0004	5929268.64	9646788.53	45
2NOST0001	5939208.44	9651347.65	23.8
2SAST0001	5979427.68	9624504.83	20
1CS0003	5767481.05	9577443.28	-98
2CSST0002	5763725.29	9574657.77	-29
Loreto_1	4271141.39	9341944.33	-957
Santa_Lucia_1	4329758.3	9290198.62	-1796
La_Fronteira	4371608.01	9299473.36	-1480
Orellana	4316768.59	9235870.54	-205
Santa_Catalina_2	4294614.77	9260904.5	-1022
Huaya__3x	4316108.92	9208935.2	-52
San_Alejandro_1	4328292.42	9019507.32	-905
Chio_01x	4314498.71	9017634.48	-806
sepa_1x	4513105.96	8777601.04	743
San_Matin_1X	4596604.12	8693971.24	350
Runuya_1X	4423708.57	8933211.21	-1779
Neshuya_5-1	4352659.52	9049845.52	-1925
Aguayita_1X	4314487.59	9068095.38	-1557
Conica_2X	4285054.36	9124557.87	-965
La_Colpa	4508400.95	8966045.11	-933
Oxapampa_19-2	4322975.47	8877557.06	-107
Capahuari_Sur_2X	4169299.11	9689895.54	-3347
Chapuli	4101473.83	9603072	-3920
Bartra	4261431.18	9726574.97	-1822
Yanayacu_2X	4340577.17	9419253.52	-3139
Bretaña_1X	4408557.63	9420211.17	-2568
Zapote_3X	4416319.25	9397255.12	-2570
Tamanco_1X	4406128.14	9351566.26	-2535
Yarina_2X	4469125.3	9420017.81	-2035
Tapiche_2X	4449551.97	9346984.24	-2152
Palmera_4X	4442322.94	9334785.01	-2161
Santa_Elena_3X	4442381.72	9321217.3	-2139
Inf._Relatorio	4568669.29	9663529.16	-1689
Belen_4x	4382983.4	9593312.36	-1897
Yanayacu_27X	4339554.51	9452146.45	-3152
Concordia_17x	4357270.24	9498004.28	-2968
Maranon_110-1	4435038.53	9504034.89	-1938
Nahuapa_24x	4409520.91	9534222.32	-2057
Palmera-1	4189404.56	10124296.3	-1513
Caiman_-_4	4221861.592	10084100.34	-1180
Chambira_Este_1X	4297902.53	9559387.95	-3063
Corrientes_1X	4326897.7	9576029.81	-2544
Forestal_1X	4203530.98	9738878.04	-2518
Jibaro_1X	4217499.01	9696748.25	-2719
Mahuaca_1X	4187718.09	9498751.93	-3871
Piraña_1X	4212577.3	9721326.59	-1585
Shanusi_1X_(2X)	4215704.46	9338890.97	-1300
Valencia_1X_(25X)	4251623.11	9646736.23	-2614
Yañez_1X_(14X)	4116461.63	9658155.01	-4043
Tamaya	4432522.75	9022036.51	-2121
PLATANAL	4480853.23	8997541.55	-2203
aflora	4444537.43	9240074.441	287
aflora	4435719.016	9247712.586	273
aflora	4447403.125	9232794.459	381
aflora	4452993.695	9239965.357	269
aflora	4482995.453	9152877.043	296
aflora	4489494.638	9131545.448	253
aflora	4467432.754	9135545.074	198
aflora	4480093.283	9137460.862	422
aflora	4422312.752	9177122.628	172
aflora	4382261.359	9187643.476	319
aflora	4395638.716	9213951.927	180
aflora	4360263.061	9216216.694	195
aflora	4383811.024	9199547.91	258
aflora	4331718.727	9220240.595	185
aflora	4358448.737	9187961.547	290
aflora	4348444.43	9208811.042	166
aflora	4464905.978	9221772.955	310
aflora	4484146.1	9170589.142	197
aflora	4480826.312	9197390.559	371
aflora	4472711.202	9189096.848	304
aflora	4468610.152	9204601.462	504
aflora	4274705.654	9246979.255	400
aflora	4295367.442	9222166.608	463
aflora	4263972.614	9207274.191	432
aflora	4275172.89	9225768.171	660
aflora	4247616.884	9220684.974	395
aflora	4376540.278	8996758.346	378
aflora	4381932.479	8965417.65	853
aflora	4352204.361	8982301.237	175
aflora	4370423.081	8979308.303	535
aflora	4359042.601	8927824.718	293
aflora	4366851.199	8949145.743	837
aflora	4382280.175	8931912.834	617
aflora	4372282.165	9016274.481	168
aflora	4505554.922	8788984.686	588
aflora	4515983.893	8775380.291	734
aflora	4047662.762	10009866.16	849
aflora	4065230.414	10000675.1	660
aflora	4045042.789	9975865.577	1515
aflora	4066948.344	9968044.866	610
aflora	4036520.892	9898750.454	918
aflora	4028632.169	9913773.429	1032
aflora	4048030.807	9946610.71	1650
aflora	4463680.618	9182552.425	215
aflora	4461404.674	9150381.155	197
aflora	4483091.914	9114915.465	300
aflora	4495121.718	9096976.018	335
aflora	4493843.473	9112525.790	321
aflora	4523961.771	9069938.119	191
aflora	4525642.788	9057510.082	239
aflora	4521538.918	9045196.970	373
aflora	4520681.247	9060675.155	407	
POMPEYA1	4150784.1157	9948874.5347	-2341
SANFRAN1	4178205.7526	9947237.422	-2186
TANGAY1	4206855.224	9961562.1577	-1918
A1-1	4020387.6	9797976.604	702	
A1-2	4026314.278	9781043.237	569	
A1-3	4028446.631	9753711.558	817	
A1-4	4028501.589	9728599.865	483	
A1-5	4021268.764	9706969.877	514	
A1-6	4022116.704	9651540.127	500	
A1-7	4041336.445	9594019.083	500	
A1-8	4048945.201	9553577.293	812	
A1-9	4048886.15	9528755.275	544	
A1-10	4033815.231	9469076.814	510	
A1-11	4055841.837	9429905.174	385	
A1-12	4111677.487	9401374.506	286	
A1-13	4139126.223	9373350.373	861	
A1-14	4174448.168	9309453.37	385	
A1-15	4231148.793	9280125.143	321	
A1-16	4461349.851	8810689.396	292	
A1-17	4469146.181	8794065.392	386	
A1-18	4481894.617	8752993.82	368	
A1-19	4475305.302	8771931.996	409	
A1-20	4476462.93	9148206.042	345	
A1-21	4475710.293	9176141.14	273	
A1-22	4485352.948	9163498.99	200	
A2-1	4076980.781	10010855.39	598	
A2-2	4078392.497	9984211.296	551	
A2-3	4073556.059	9952177.294	502	
A2-4	4057168.726	9926075.834	741	
A2-5	4047073.832	9886858.513	540	
A2-6	4026320.432	9879213.82	528	
A2-7	4018838.554	9788466.381	654	
A2-8	4016966.407	9797843.027	830	
A2-9	4028162.071	9788960.469	556	
A2-10	4029285.91	9778361.786	535	
A2-11	4030191.205	9766594.162	592	
A2-12	4031717.726	9739846.544	518	
A2-13	4027214.186	9713543.827	449	
A2-14	4025108.627	9658359.966	495	
A2-15	4028970.059	9639306.14	495	
A2-16	4045533.191	9597524.451	399	
A2-17	4044255.436	9573372.901	425	
A2-18	4054332.723	9559993.766	523	
A2-19	4051711.688	9533304.238	530	
A2-20	4051789.206	9506608.763	345	
A2-21	4040717.763	9466405.471	322	
A2-22	4068400.762	9429783.729	207	
A2-23	4110068.923	9405738.547	245	
A2-24	4145799.315	9375729.81	417	
A2-25	4180252.344	9313856.91	292	
A2-26	4191659.345	9291168.577	453	
A2-27	4187110.944	9294702.175	338	
A2-28	4206706.897	9294562.006	281	
A2-29	4231489.583	9283307.258	264	
A2-30	4292137.195	9239776.171	457	
A2-31	4272360.651	9242809.647	515	
A2-32	4268062.379	9232942.656	800	
A2-33	4261896.866	9211743.207	654	
A2-34	4257778.911	9226685.62	909	
A2-35	4248923.266	9241230.728	801	
A2-36	4241888.251	9196024.287	408	
A2-37	4243295.753	9207920.776	352	
A2-38	4271349.274	9204795.987	407	
A2-39	4279553.017	9213107.731	395	
A2-40	4352824.739	8936931.143	199	
A2-41	4346408.735	8973362.432	167	
A2-42	4362620.251	8989855.632	201	
A2-43	4378605.179	9005246.82	196	
A2-44	4381196.777	9007038.207	258	
A2-45	4365080.861	9024754.505	190	
A2-46	4374165.179	9019062.547	160	
A2-47	4382720.361	8989439.33	435	
A2-48	4385907.052	8976976.599	399	
A2-49	4387717.287	8965823.592	650	
A2-50	4383146.071	8958594.913	1017	
A2-51	4365843.896	8972057.166	544	
A2-52	4368961.486	9014489.569	171	
A2-53	4379359.408	8949691.741	1389	
A2-54	4382398.057	8936183.199	941	
A2-55	4383762.991	8924490.005	779	
A2-56	4453008.395	8824633.034	274	
A2-57	4451408.125	8836311.764	279	
A2-58	4475197.203	8812131.65	279	
A2-59	4477967.249	8788318.578	290	
A2-60	4485443.372	8756842.558	359	
A2-61	4491065.657	8738161.556	497	
A2-62	4501138.163	8727389.607	717	
A2-63	4508702.635	8781998.342	709	
A2-64	4517537.042	8772904.989	627	
A2-65	4507850.643	8789977.34	560	
A2-66	4301807.067	9219222.115	287	
A2-67	4326786.153	9221364.72	200	
A2-68	4351863.264	9220614.824	176	
A2-69	4381884.652	9226251.791	171	
A2-70	4387718.766	9179691.531	295	
A2-71	4363533.219	9172816.119	179	
A2-72	4339378.423	9198308.617	204	
A2-73	4424312.983	9180170.193	166	
A2-74	4473355.674	9149332.737	234	
A2-75	4480116.673	9167340.097	194	
A2-76	4467241.836	9186036.797	317	
A2-77	4431061.312	9249160.548	273	
A2-78	4441629.164	9237786.837	280	
A2-79	4460840.408	9233932.669	236	
A2-80	4462050.275	9220804.258	479	
A2-81	4459908.611	9206122.79	273	
A2-82	4471841.722	9194610.333	304	
A2-83	4483459.503	9132646.425	394	
A2-84	4487627.059	9126750.347	393	


